title,url,pub_date,duration,status,filename,size_mb,format,guid,speakers,transcription_status,transcript_path,diarization_status,diarized_transcript_path
NerdCast 1014 - Pluribus: A Morte da Individualidade e a Positividade Tóxica,https://pdst.fm/e/traffic.megaphone.fm/JNPD2879355157.mp3?updated=1771513140,2026-01-16,122m19s,downloaded,NerdCast 1014 - Pluribus_ A Morte da Individualidade e a Positividade Tóxica.mp3,82.2,mp3,2faa9b4e-f2f7-11f0-9027-579c49fe23e9,Azaghal|Carlos Voltor|Katiucha Barcelos|Tucano|Eduardo Spohr,not_transcribed,,not_diarized,
NerdCast 1013 - Stranger Things 5: Uma Última Vez em Hawkins e no Upside Down. Ou Não...,https://pdst.fm/e/traffic.megaphone.fm/JNPD2905376726.mp3?updated=1771513129,2026-01-09,109m08s,downloaded,NerdCast 1013 - Stranger Things 5_ Uma Última Vez em Hawkins e no Upside Down_ Ou Não___.mp3,73.1,mp3,57255dce-ed8b-11f0-845d-1b711db211ba,Azaghal|Carlos Voltor|Marcelo Bassoli|Katiucha Barcelos|Tucano|Alexandre Ottoni,not_transcribed,,not_diarized,
NerdCast 1012 - RPG Western 1: Bem-Vindos a Widow Wood,https://pdst.fm/e/traffic.megaphone.fm/JNPD3658284632.mp3,2025-12-27,173m03s,downloaded,NerdCast 1012 - RPG Western 1_ Bem-Vindos a Widow Wood.mp3,237.0,mp3,292d70c8-e37c-11f0-b25d-f735e1277d2b,Alexandre Ottoni|Azaghal|Carlos Voltor|Tucano,not_transcribed,,not_diarized,
"NerdCast 1011 - Lobo: O Maioral, O Flagelo do Cosmos, O Super FDP da DC, O Favorito do Stan Lee",https://pdst.fm/e/traffic.megaphone.fm/JNPD3817118555.mp3?updated=1766171892,2025-12-19,88m38s,downloaded,NerdCast 1011 - Lobo_ O Maioral_ O Flagelo do Cosmos_ O Super FDP da DC_ O Favorito do Stan Lee.mp3,59.0,mp3,3d586236-dd0c-11f0-88b9-af59ab8dbe52,Alottoni|Carlos Voltor|Rex|Azaghal,not_transcribed,,not_diarized,
NerdCast 1010 - A Força do Legado de Star Wars,https://pdst.fm/e/traffic.megaphone.fm/JNPD5244646128.mp3,2025-12-12,90m52s,downloaded,NerdCast 1010 - A Força do Legado de Star Wars.mp3,62.0,mp3,ad431706-d796-11f0-83a7-a3123849c8c0,Alottoni|Carlos Voltor|Katiucha Barcelos|Marcelo Bassoli|Azaghal,not_transcribed,,not_diarized,
NerdCast 1009 - E Se Ganhássemos na Loteria... De Novo?!,https://pdst.fm/e/traffic.megaphone.fm/JNPD6652976619.mp3?updated=1766095266,2025-12-05,77m14s,downloaded,NerdCast 1009 - E Se Ganhássemos na Loteria___ De Novo__.mp3,51.9,mp3,1bae995c-d208-11f0-8bf7-cb6936959f42,Alottoni|Sr. K|Didi Braguinha|Tucano|Azaghal|Portuguesa,not_transcribed,,not_diarized,
NerdCast 1008 - O Agente Secreto: Um Passo Cabeludo em Direção ao Oscar,https://pdst.fm/e/traffic.megaphone.fm/JNPD7876750431.mp3?updated=1764364774,2025-11-29,84m17s,downloaded,NerdCast 1008 - O Agente Secreto_ Um Passo Cabeludo em Direção ao Oscar.mp3,56.1,mp3,0bc7c616-cc9b-11f0-9476-83c2e99c445c,Alexandre Ottoni|Carlos Voltor|Katiucha Barcelos|Azaghal,not_transcribed,,not_diarized,
NerdCast 1007 - A CPI das Sobremesas,https://pdst.fm/e/traffic.megaphone.fm/JNPD1722627196.mp3?updated=1766095620,2025-11-21,83m22s,downloaded,NerdCast 1007 - A CPI das Sobremesas.mp3,55.4,mp3,cfcad0c2-c6f5-11f0-9d22-73bf97ca23d7,Carlos Voltor|Marcelo Bassoli|Sr. K|Tucano,not_transcribed,,not_diarized,
NerdCast 1006 - Como Era Bom o Cinema dos Anos 90 - Parte 2,https://pdst.fm/e/traffic.megaphone.fm/JNPD1607896466.mp3?updated=1763143294,2025-11-14,158m34s,downloaded,NerdCast 1006 - Como Era Bom o Cinema dos Anos 90 - Parte 2.mp3,106.4,mp3,fa5f9dec-c180-11f0-b8df-7bd24911826f,Alexandre Ottoni|Gaveta|Max Valarezo|Marcelo Bassoli|Eduardo Spohr|Tucano|Azaghal,not_transcribed,,not_diarized,
NerdCast 1005 - A Autópsia de A Própria Carne: Especialistas do Terror Dissecam Nosso Filme,https://pdst.fm/e/traffic.megaphone.fm/JNPD9946199310.mp3?updated=1762547723,2025-11-07,89m21s,downloaded,NerdCast 1005 - A Autópsia de A Própria Carne_ Especialistas do Terror Dissecam Nosso Filme.mp3,59.6,mp3,1691df3a-bc17-11f0-be7c-d32e4f0c4672,Azaghal,not_transcribed,,not_diarized,
"NerdCast 1004 - Qual é a Pauta? Jujuba, Como a Vovó Fazia e CPAP Assassino",https://pdst.fm/e/traffic.megaphone.fm/JNPD2327386512.mp3?updated=1761931037,2025-10-31,94m25s,downloaded,NerdCast 1004 - Qual é a Pauta_ Jujuba_ Como a Vovó Fazia e CPAP Assassino.mp3,63.1,mp3,1618b858-b67c-11f0-8db5-b3f1226febc4,Alexandre Ottoni|Marcelo Bassoli|Tucano|Azaghal,not_transcribed,,not_diarized,
NerdCast 1003 - A Triste e Sangrenta Guerra do Paraguai,https://pdst.fm/e/traffic.megaphone.fm/JNPD5510775683.mp3?updated=1761330617,2025-10-24,96m04s,downloaded,NerdCast 1003 - A Triste e Sangrenta Guerra do Paraguai.mp3,64.2,mp3,0861c1e4-b106-11f0-a040-bf70bcec0847,Alexandre Ottoni|Tucano|Filipe Figueiredo,not_transcribed,,not_diarized,
NerdCast 1002 - Agatha Christie: Os Livros e Mistérios da Rainha do Crime,https://pdst.fm/e/traffic.megaphone.fm/JNPD7544160903.mp3?updated=1760726221,2025-10-17,115m10s,downloaded,NerdCast 1002 - Agatha Christie_ Os Livros e Mistérios da Rainha do Crime.mp3,77.3,mp3,9e3c6096-ab86-11f0-a61d-e3ed215449c9,Alexandre Ottoni|Eduardo Spohr,not_transcribed,,not_diarized,
NerdCast 1001 - NerdCast Mil no Teatro: Melhores Momentos,https://pdst.fm/e/traffic.megaphone.fm/JNPD6667732986.mp3?updated=1760118169,2025-10-10,113m08s,downloaded,NerdCast 1001 - NerdCast Mil no Teatro_ Melhores Momentos.mp3,76.9,mp3,13769c1a-a5ff-11f0-8913-c768b5e0b8ac,,not_transcribed,,not_diarized,
NerdCast Especial 1000 minutos - Um NerdCast para a Todos Governar (Parte 1),https://pdst.fm/e/traffic.megaphone.fm/JNPD4677324253.mp3?updated=1759787666,2025-10-06,522m09s,downloaded,NerdCast Especial 1000 minutos - Um NerdCast para a Todos Governar _Parte 1_.mp3,352.3,mp3,13c920a4-a2ec-11f0-bb45-6bb95dba5925,,not_transcribed,,not_diarized,
